count_named_entities,count_number_date_time,future_tense,count_dictionary_words,subjectivity
31,1,0,0,1
50,2,0,0,1
149,1,2,0,1
37,1,0,0,1
81,1,0,0,1
86,0,1,0,1
78,0,1,0,1
67,2,1,0,1
40,0,0,0,0
30,0,1,0,0
17,0,0,0,0
62,0,0,0,1
40,0,0,0,0
27,1,0,0,0
10,0,0,0,0
121,1,0,0,0
67,0,0,0,1
104,0,0,0,1
121,0,0,0,1
18,0,0,0,0
65,0,0,0,1
66,0,0,0,0
36,0,1,0,0
52,0,1,0,0
95,0,1,0,0
137,0,0,0,1
89,0,1,0,0
133,0,0,0,0
57,0,1,0,1
59,0,0,0,1
117,0,1,0,0
60,0,1,0,0
97,1,0,0,1
63,0,1,0,0
19,0,0,0,0
24,0,0,0,0
70,0,0,0,1
89,1,0,0,1
92,0,0,0,1
85,0,0,0,1
46,0,0,0,0
65,0,0,0,1
117,2,0,0,0
31,0,0,0,1
14,1,0,0,1
29,0,0,0,1
41,1,0,0,1
9,1,0,0,0
80,0,0,0,1
36,0,0,0,1
17,0,0,0,1
21,0,0,0,1
108,0,0,0,1
25,0,0,0,0
82,0,0,0,1
29,0,0,0,0
59,1,0,0,1
127,0,0,0,1
26,0,0,0,1
38,0,0,0,1
42,1,0,0,1
80,1,0,0,1
47,0,0,0,1
83,0,0,0,1
63,1,2,0,0
52,2,0,0,0
83,1,0,0,0
16,0,0,0,1
54,0,0,0,0
17,0,0,0,0
22,0,0,0,0
14,0,0,0,1
53,0,0,0,0
46,0,1,0,0
25,0,0,0,1
25,0,0,0,0
23,0,0,0,0
32,0,0,0,0
14,0,0,0,0
26,0,0,0,1
10,0,0,0,1
46,0,0,0,0
68,1,0,0,0
70,1,0,0,0
73,0,0,0,0
9,0,0,0,0
121,0,0,0,1
153,0,1,0,1
13,0,0,0,1
8,0,0,0,0
57,0,0,0,1
26,0,0,0,1
8,0,0,0,1
29,2,0,0,1
33,0,0,0,1
19,1,0,0,1
28,1,0,0,1
15,0,0,0,0
42,0,0,0,0
26,0,0,0,0
137,1,0,0,1
20,0,0,0,1
26,0,0,0,0
31,0,0,0,1
10,0,0,0,1
22,0,0,0,1
95,0,0,0,1
41,1,0,0,0
32,0,1,0,0
83,0,0,0,0
39,1,0,0,1
28,1,0,0,0
61,0,0,0,1
18,0,0,0,1
104,0,0,0,1
30,0,0,0,1
24,1,0,0,1
89,0,0,0,1
203,0,0,0,1
49,0,0,0,1
95,0,0,0,1
91,0,0,0,1
18,0,0,0,1
67,0,0,0,1
32,0,0,0,1
56,0,0,0,1
43,1,0,0,0
25,1,1,0,0
8,1,0,0,0
169,4,2,0,0
38,0,0,0,1
46,0,0,0,0
46,0,0,0,0
17,0,0,0,1
21,0,0,0,1
16,0,0,0,0
9,0,1,0,0
46,0,0,0,0
10,0,0,0,0
47,1,0,0,0
147,0,0,0,1
41,0,0,0,1
22,0,0,0,0
33,0,0,0,1
9,1,0,0,0
38,0,1,0,0
11,1,0,0,0
58,0,0,0,1
48,0,0,0,0
65,0,0,0,0
34,0,0,0,1
139,1,0,0,1
145,0,0,0,1
70,0,0,0,1
52,0,0,0,1
216,0,0,0,0
15,0,0,0,0
65,0,0,0,1
14,0,0,0,1
13,0,0,0,1
9,0,0,0,0
56,0,0,0,1
30,0,0,0,1
167,0,0,0,1
8,1,0,0,0
64,0,0,0,0
112,0,0,0,1
166,0,1,0,1
76,0,1,0,0
26,1,0,0,0
150,0,0,0,1
110,0,1,0,1
70,3,0,0,0
123,0,0,0,0
128,0,0,0,0
8,0,0,0,0
84,1,0,0,1
35,1,0,0,1
552,0,2,0,0
34,0,0,0,1
133,1,0,0,1
21,0,0,0,1
88,0,0,0,1
25,0,0,0,1
35,0,0,0,0
41,0,0,0,0
26,1,0,0,1
65,0,0,0,1
47,0,0,0,1
11,0,0,0,1
14,0,0,0,1
28,0,0,0,0
9,1,0,0,0
114,0,0,0,1
93,0,0,0,1
148,0,2,0,0
83,1,1,0,1
71,0,0,0,0
25,0,0,0,1
24,0,0,0,1
47,0,0,0,1
24,1,0,0,1
55,0,0,0,0
40,0,0,0,0
182,0,0,0,1
91,0,0,0,1
26,1,0,0,1
38,0,0,0,0
22,1,0,0,0
53,0,0,0,0
48,0,0,0,1
35,0,0,0,0
66,1,0,0,1
29,0,0,0,1
96,0,1,0,1
21,0,0,0,0
60,1,0,0,1
84,0,0,0,1
36,1,0,0,0
23,0,0,0,0
93,2,0,0,0
56,1,0,0,0
55,0,0,0,0
31,0,0,0,1
96,1,0,0,0
40,0,0,0,0
58,0,1,0,1
52,0,0,0,0
36,0,0,0,0
43,0,0,0,0
92,0,0,0,0
39,0,0,0,0
51,0,0,0,0
61,1,1,0,1
14,0,0,0,0
73,0,1,0,0
19,0,0,0,0
47,0,0,0,0
62,0,0,0,0
89,1,0,0,1
105,1,0,0,1
120,1,1,0,1
101,1,0,0,1
27,0,0,0,1
77,0,0,0,1
60,0,2,0,1
83,0,1,0,0
85,0,0,0,0
23,0,0,0,1
115,0,0,0,1
19,0,0,0,1
56,0,0,0,0
57,0,0,0,0
13,1,0,0,1
65,0,0,0,0
22,1,0,0,1
24,1,0,0,0
62,0,0,0,1
92,1,0,0,0
28,0,0,0,0
50,0,1,0,0
66,0,0,0,0
62,1,1,0,0
33,1,0,0,0
24,0,0,0,0
21,0,0,0,1
14,0,0,0,1
85,0,0,0,1
117,0,1,0,1
38,0,0,0,1
17,0,0,0,1
43,0,2,0,0
116,1,0,0,1
140,2,1,0,0
23,1,0,0,1
46,0,0,0,1
14,0,0,0,0
115,0,1,0,0
12,0,1,0,0
11,1,0,0,1
58,0,0,0,1
36,0,0,0,0
10,0,0,0,1
160,1,0,0,0
30,0,0,0,1
29,1,0,0,1
60,1,0,0,0
44,1,0,0,0
62,0,0,0,1
9,1,0,0,0
79,2,0,0,1
16,0,0,0,0
56,0,0,0,1
23,0,0,0,1
115,2,0,0,1
99,0,0,0,1
29,1,0,0,1
116,1,0,0,1
17,0,0,0,0
30,0,0,0,0
61,1,0,0,0
76,1,0,0,1
23,0,0,0,0
169,1,0,0,1
69,1,0,0,0
15,1,1,0,0
35,0,0,0,1
72,0,0,0,0
