lexicon_subjective,lexicon_positive,lexicon_negative,lexicon_quotation_exclamation,lexicon_subjective_prop,lexicon_positive_prop,lexicon_negative_prop,lexicon_quotation_exclamation_prop,subjectivity
1.0,1.0,0.0,1.0,0.25,0.25,0.0,0.25,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0
2.0,2.0,0.0,0.0,0.05714285714285714,0.05714285714285714,0.0,0.0,1.0
1.0,1.0,0.0,3.0,0.045454545454545456,0.045454545454545456,0.0,0.13636363636363635,0.0
3.0,3.0,1.0,3.0,0.12,0.12,0.04,0.12,1.0
1.0,1.0,0.0,3.0,0.058823529411764705,0.058823529411764705,0.0,0.17647058823529413,0.0
1.0,1.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,1.0
2.0,2.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,1.0
2.0,2.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,1.0
4.0,3.0,1.0,0.0,0.14285714285714285,0.10714285714285714,0.03571428571428571,0.0,1.0
1.0,1.0,0.0,1.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,1.0
