pos_adj,pos_adp,pos_adv,pos_aux,pos_cconj,pos_det,pos_intj,pos_noun,pos_num,pos_pron,pos_propn,pos_punct,pos_sconj,pos_sym,pos_verb,pos_x,pos_comparatives,pos_superlatives,rule1,rule2,rule3,rule4,rule5,lexicon_subjective,lexicon_positive,lexicon_negative,lexicon_quotation_exclamation,lexicon_subjective_prop,lexicon_positive_prop,lexicon_negative_prop,lexicon_quotation_exclamation_prop,concept_aptitude_avg_abs,concept_aptitude_sum_abs,concept_attention_avg_abs,concept_attention_sum_abs,concept_pleasantness_avg_abs,concept_pleasantness_sum_abs,concept_polarity_avg_abs,concept_polarity_sum_abs,concept_sensitivity_avg_abs,concept_sensitivity_sum_abs,count_dictionary_words,count_named_entities,count_number_date_time,count_url,count_elongated,count_mentions,emoji_polarity_score,emoticon_polarity_score,count_words,count_capitalized_words,proportion_capitalized_words,count_capitalized_chars,proportion_capitalized_chars,subjectivity
1.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.007294117647058823,0.124,0.005294117647058823,0.09,0.002411764705882353,0.041,0.004823529411764706,0.082,0.0005882352941176471,0.01,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.06666666666666667,1.0,0.013157894736842105,1.0
3.0,3.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.17647058823529413,0.17647058823529413,0.0,0.0,0.05276470588235294,0.897,0.07605882352941178,1.2930000000000001,0.08147058823529411,1.385,0.06535294117647059,1.111,0.015294117647058824,0.26,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.14285714285714285,2.0,0.023255813953488372,1.0
4.0,3.0,2.0,0.0,3.0,1.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,0.2,0.2,0.0,0.0,0.23135999999999995,5.783999999999999,0.201,5.025,0.25676,6.419,0.23399999999999999,5.85,0.07548,1.8870000000000002,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,2.0,0.09090909090909091,2.0,0.012738853503184714,1.0
7.0,16.0,9.0,2.0,4.0,6.0,0.0,18.0,0.0,3.0,0.0,14.0,1.0,0.0,10.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,8.0,7.0,1.0,0.0,0.08888888888888889,0.07777777777777778,0.011111111111111112,0.0,0.09921111111111111,8.929,0.10683333333333332,9.614999999999998,0.10796666666666667,9.717,0.11387777777777779,10.249,0.04193333333333333,3.7739999999999996,74.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,76.0,6.0,0.07894736842105263,7.0,0.01580135440180587,1.0
5.0,5.0,3.0,1.0,1.0,1.0,0.0,8.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.09375,0.09375,0.0,0.0,0.05325,1.704,0.11153125,3.569,0.10440624999999999,3.3409999999999997,0.08634375,2.763,0.0106875,0.342,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,0.11538461538461539,3.0,0.020134228187919462,1.0
3.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.1875,0.1875,0.0,0.0,0.11549999999999999,1.8479999999999999,0.12206249999999999,1.9529999999999998,0.1583125,2.533,0.1255,2.008,0.023125,0.37,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.07142857142857142,1.0,0.012987012987012988,0.0
0.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.125,0.125,0.0,0.0,0.1086875,1.739,0.0284375,0.455,0.09875,1.58,0.0970625,1.553,0.08281250000000001,1.3250000000000002,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.06666666666666667,1.0,0.011627906976744186,1.0
3.0,4.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02732,0.683,0.01792,0.44799999999999995,0.0038,0.095,0.01224,0.306,0.0124,0.31,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.09090909090909091,2.0,0.016,1.0
1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.007000000000000001,0.07,0.0064,0.064,0.0045,0.045,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.2222222222222222,2.0,0.03773584905660377,0.0
0.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.024363636363636365,0.268,0.01636363636363636,0.18,0.012818181818181819,0.14100000000000001,0.014181818181818183,0.156,0.0008181818181818182,0.009,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.023255813953488372,1.0
